date,open,high,low,close,volume,amount,amplitude,change_pct,change,turnover,cffex_io_volume_pcr,cffex_io_oi_pcr,cffex_io_amount_pcr,cffex_io_call_vol,cffex_io_put_vol,cffex_io_call_oi,cffex_io_put_oi,cffex_io_breakdown,sse_300etf_volume_pcr,sse_300etf_oi_pcr,sse_300etf_call_vol,sse_300etf_put_vol,sse_300etf_call_oi,sse_300etf_put_oi,szse_300etf_volume_pcr,szse_300etf_oi_pcr,szse_300etf_call_vol,szse_300etf_put_vol,szse_300etf_call_oi,szse_300etf_put_oi,total_call_volume,total_put_volume,total_volume_pcr,total_call_oi,total_put_oi,total_oi_pcr,qvix_open,qvix_high,qvix_low,qvix_close,cffex_io_volume_pcr_pct20,cffex_io_volume_pcr_pct60,cffex_io_oi_pcr_pct20,cffex_io_oi_pcr_pct60,cffex_io_amount_pcr_pct20,cffex_io_amount_pcr_pct60,sse_300etf_volume_pcr_pct20,sse_300etf_volume_pcr_pct60,sse_300etf_oi_pcr_pct20,sse_300etf_oi_pcr_pct60,szse_300etf_volume_pcr_pct20,szse_300etf_volume_pcr_pct60,szse_300etf_oi_pcr_pct20,szse_300etf_oi_pcr_pct60,total_volume_pcr_pct20,total_volume_pcr_pct60,total_oi_pcr_pct20,total_oi_pcr_pct60
20240820,3361.639,3362.334,3321.64,3332.703,10166833100,,,,,,0.6352077598636781,0.5936625576646752,0.9423917634894792,30516,19384,92561,54950,"{""2409"": {""call_vol"": 27234, ""put_vol"": 17328, ""call_oi"": 62643, ""put_oi"": 38696}, ""2410"": {""call_vol"": 1710, ""put_vol"": 1170, ""call_oi"": 4195, ""put_oi"": 2367}, ""2411"": {""call_vol"": 189, ""put_vol"": 212, ""call_oi"": 191, ""put_oi"": 255}, ""2412"": {""call_vol"": 745, ""put_vol"": 336, ""call_oi"": 17031, ""put_oi"": 7494}, ""2503"": {""call_vol"": 289, ""put_vol"": 200, ""call_oi"": 5508, ""put_oi"": 3850}, ""2506"": {""call_vol"": 349, ""put_vol"": 138, ""call_oi"": 2993, ""put_oi"": 2288}}",0.7944575085927541,0.726825160776797,681679.0,541565.0,868129.0,630978.0,0.9730124171591262,0.8116939119526442,83594.0,81338.0,153054.0,124233.0,795789.0,642287.0,0.8071071603151087,1113744.0,810161.0,0.7274212027180393,14.5,14.5,14.22,14.3,,,,,,,,,,,,,,,,,,
20240821,3322.913,3339.443,3307.992,3321.635,8995475100,,0.9437084552688921,-0.33210280063958875,-11.067999999999756,,0.679437305984518,0.5879791213027307,1.2063709677969598,25449,17291,95983,56436,"{""2409"": {""call_vol"": 22432, ""put_vol"": 15819, ""call_oi"": 65135, ""put_oi"": 39937}, ""2410"": {""call_vol"": 1810, ""put_vol"": 919, ""call_oi"": 4771, ""put_oi"": 2489}, ""2411"": {""call_vol"": 105, ""put_vol"": 90, ""call_oi"": 255, ""put_oi"": 294}, ""2412"": {""call_vol"": 816, ""put_vol"": 232, ""call_oi"": 17252, ""put_oi"": 7533}, ""2503"": {""call_vol"": 190, ""put_vol"": 138, ""call_oi"": 5521, ""put_oi"": 3853}, ""2506"": {""call_vol"": 96, ""put_vol"": 93, ""call_oi"": 3049, ""put_oi"": 2330}}",0.8068130806878596,0.7161785991375111,412119.0,332503.0,872591.0,624931.0,1.2339256123771554,0.8158979694062344,60951.0,75209.0,155718.0,127050.0,498519.0,425003.0,0.8525311974067187,1124292.0,808417.0,0.7190454081324069,14.4,14.4,14.06,14.2,,,,,,,,,,,,,,,,,,
20240822,3322.872,3327.696,3305.245,3313.136,10036650400,,0.6759020783439487,-0.25586796863593664,-8.499000000000251,,0.6577462156606242,0.5844904375163741,1.0644351921739654,26755,17598,99242,58006,"{""2409"": {""call_vol"": 23239, ""put_vol"": 15792, ""call_oi"": 67293, ""put_oi"": 40933}, ""2410"": {""call_vol"": 1959, ""put_vol"": 1140, ""call_oi"": 5424, ""put_oi"": 2892}, ""2411"": {""call_vol"": 245, ""put_vol"": 116, ""call_oi"": 364, ""put_oi"": 361}, ""2412"": {""call_vol"": 751, ""put_vol"": 258, ""call_oi"": 17432, ""put_oi"": 7577}, ""2503"": {""call_vol"": 399, ""put_vol"": 179, ""call_oi"": 5613, ""put_oi"": 3873}, ""2506"": {""call_vol"": 162, ""put_vol"": 113, ""call_oi"": 3116, ""put_oi"": 2370}}",0.8361265025069233,0.695813643211637,440181.0,368047.0,893426.0,621658.0,1.1602107902941574,0.8155675856178679,59016.0,68471.0,155721.0,127001.0,525952.0,454116.0,0.8634171939644683,1148389.0,806665.0,0.7024318414753189,14.3,14.45,14.03,14.45,,,,,,,,,,,,,,,,,,
20240823,3305.931,3336.241,3305.64,3327.191,8952577400,,0.9236264373089458,0.4242204364686364,14.054999999999836,,0.5856355581169183,0.575422581824289,0.8220117376953662,27763,16259,101223,58246,"{""2409"": {""call_vol"": 24817, ""put_vol"": 14788, ""call_oi"": 68072, ""put_oi"": 40940}, ""2410"": {""call_vol"": 1741, ""put_vol"": 667, ""call_oi"": 6288, ""put_oi"": 2999}, ""2411"": {""call_vol"": 90, ""put_vol"": 54, ""call_oi"": 404, ""put_oi"": 384}, ""2412"": {""call_vol"": 794, ""put_vol"": 424, ""call_oi"": 17659, ""put_oi"": 7623}, ""2503"": {""call_vol"": 187, ""put_vol"": 233, ""call_oi"": 5676, ""put_oi"": 3909}, ""2506"": {""call_vol"": 134, ""put_vol"": 93, ""call_oi"": 3124, ""put_oi"": 2391}}",0.7657131100965966,0.7268858020361479,510370.0,390797.0,862511.0,626947.0,1.0520493547014609,0.8344382632739722,63459.0,66762.0,151895.0,126747.0,601592.0,473818.0,0.7876068830702536,1115629.0,811940.0,0.7277867463108255,14.6,14.6,13.69,13.94,,,,,,,,,,,,,,,,,,
20240826,3330.718,3336.527,3311.57,3324.223,9399077200,,0.7500921948875157,-0.08920437690531635,-2.967999999999847,,0.548426435877262,0.5687228864670405,0.7998323612917125,25420,13941,103961,59125,"{""2409"": {""call_vol"": 22219, ""put_vol"": 12391, ""call_oi"": 69709, ""put_oi"": 41330}, ""2410"": {""call_vol"": 1869, ""put_vol"": 1129, ""call_oi"": 7020, ""put_oi"": 3416}, ""2411"": {""call_vol"": 117, ""put_vol"": 68, ""call_oi"": 496, ""put_oi"": 420}, ""2412"": {""call_vol"": 1060, ""put_vol"": 254, ""call_oi"": 17896, ""put_oi"": 7648}, ""2503"": {""call_vol"": 97, ""put_vol"": 81, ""call_oi"": 5697, ""put_oi"": 3920}, ""2506"": {""call_vol"": 58, ""put_vol"": 18, ""call_oi"": 3143, ""put_oi"": 2391}}",0.9081899212365127,0.7063625257239089,405010.0,367826.0,858637.0,606509.0,0.984057517974367,0.8100101072417731,60781.0,59812.0,152366.0,123418.0,491211.0,441579.0,0.8989599174285592,1114964.0,789052.0,0.7076928044313539,14.1,14.24,13.88,13.88,,,,,,,,,,,,,,,,,,
20240827,3315.686,3320.567,3299.564,3305.334,9580815700,,0.6318168185467748,-0.5682230103094765,-18.889000000000124,,0.6144439009205319,0.5671405262466945,0.9289172826041062,22487,13817,106642,60481,"{""2409"": {""call_vol"": 19481, ""put_vol"": 12401, ""call_oi"": 71310, ""put_oi"": 42135}, ""2410"": {""call_vol"": 1640, ""put_vol"": 1023, ""call_oi"": 7596, ""put_oi"": 3853}, ""2411"": {""call_vol"": 132, ""put_vol"": 77, ""call_oi"": 562, ""put_oi"": 455}, ""2412"": {""call_vol"": 812, ""put_vol"": 239, ""call_oi"": 18234, ""put_oi"": 7702}, ""2503"": {""call_vol"": 319, ""put_vol"": 46, ""call_oi"": 5766, ""put_oi"": 3938}, ""2506"": {""call_vol"": 103, ""put_vol"": 31, ""call_oi"": 3174, ""put_oi"": 2398}}",0.8100219726884494,0.6724893615293882,379107.0,307085.0,862201.0,579821.0,1.040570698597879,0.8044647519582245,64973.0,67609.0,153200.0,123244.0,466567.0,388511.0,0.8327014126588465,1122043.0,763546.0,0.6804962020172133,14.2,14.2,13.81,13.86,,,,,,,,,,,,,,,,,,
20240828,3298.909,3305.35,3274.588,3286.496,9269665000,,0.9306775049056983,-0.5699272751255924,-18.837999999999738,,0.7226943230255477,0.560793217468083,1.3569332511092769,36833,26619,110991,62243,"{""2409"": {""call_vol"": 32182, ""put_vol"": 23749, ""call_oi"": 74282, ""put_oi"": 42773}, ""2410"": {""call_vol"": 2438, ""put_vol"": 1775, ""call_oi"": 8416, ""put_oi"": 4492}, ""2411"": {""call_vol"": 310, ""put_vol"": 231, ""call_oi"": 729, ""put_oi"": 614}, ""2412"": {""call_vol"": 1547, ""put_vol"": 618, ""call_oi"": 18505, ""put_oi"": 7930}, ""2503"": {""call_vol"": 208, ""put_vol"": 173, ""call_oi"": 5834, ""put_oi"": 4023}, ""2506"": {""call_vol"": 148, ""put_vol"": 73, ""call_oi"": 3225, ""put_oi"": 2411}}",0.9224731109540395,0.7497478631189919,469708.0,433293.0,596898.0,447523.0,0.8999297948449357,0.8915390635975035,89737.0,80757.0,99658.0,88849.0,596278.0,540669.0,0.9067398092835892,807547.0,598615.0,0.7412757399878892,13.9,14.38,13.78,14.03,,,,,,,,,,,,,,,,,,
20240829,3273.541,3290.786,3269.529,3277.681,13070233300,,0.6467982921628403,-0.26821879594559617,-8.815000000000055,,0.640872900563724,0.5541936887921654,1.0141945857990042,34414,22055,114875,63663,"{""2409"": {""call_vol"": 29778, ""put_vol"": 19083, ""call_oi"": 76730, ""put_oi"": 43498}, ""2410"": {""call_vol"": 2411, ""put_vol"": 1921, ""call_oi"": 9144, ""put_oi"": 5087}, ""2411"": {""call_vol"": 284, ""put_vol"": 179, ""call_oi"": 889, ""put_oi"": 649}, ""2412"": {""call_vol"": 1113, ""put_vol"": 262, ""call_oi"": 18977, ""put_oi"": 8011}, ""2503"": {""call_vol"": 255, ""put_vol"": 173, ""call_oi"": 5911, ""put_oi"": 4064}, ""2506"": {""call_vol"": 573, ""put_vol"": 437, ""call_oi"": 3224, ""put_oi"": 2354}}",0.7425727037699204,0.7317687656046686,388735.0,288664.0,662462.0,484769.0,0.9774224284353121,0.8444018671400261,48278.0,47188.0,106473.0,89906.0,471427.0,357907.0,0.7591991973306578,883810.0,638338.0,0.7222570461977121,14.2,14.34606795,13.91547834,14.29405781,,,,,,,,,,,,,,,,,,
20240830,3273.753,3351.625,3273.65,3321.432,18869544300,,2.3789685451390756,1.3348156821850532,43.75099999999975,,0.5565897899708572,0.5529963088948396,0.5634665740426247,79608,44309,110536,61126,"{""2409"": {""call_vol"": 69987, ""put_vol"": 39322, ""call_oi"": 71184, ""put_oi"": 40850}, ""2410"": {""call_vol"": 5700, ""put_vol"": 3572, ""call_oi"": 10019, ""put_oi"": 5240}, ""2411"": {""call_vol"": 458, ""put_vol"": 305, ""call_oi"": 997, ""put_oi"": 645}, ""2412"": {""call_vol"": 2383, ""put_vol"": 538, ""call_oi"": 19079, ""put_oi"": 7967}, ""2503"": {""call_vol"": 545, ""put_vol"": 279, ""call_oi"": 6015, ""put_oi"": 4024}, ""2506"": {""call_vol"": 535, ""put_vol"": 293, ""call_oi"": 3242, ""put_oi"": 2400}}",0.6767433971295201,0.7908357718290524,860762.0,582515.0,664344.0,525387.0,0.7979144858684274,0.8704786443365375,124190.0,99093.0,111001.0,96624.0,1064560.0,725917.0,0.6818939280078155,885881.0,683137.0,0.7711385614997951,13.6,14.12612,13.40361763,13.64647176,,,,,,,,,,,,,,,,,,
20240902,3307.543,3307.763,3264.757,3265.011,14761235300,,1.2948029645044625,-1.6986950207019125,-56.42099999999982,,0.6411089587369035,0.5358549973060345,1.1338989731794284,48009,30779,118784,63651,"{""2409"": {""call_vol"": 40735, ""put_vol"": 25463, ""call_oi"": 77282, ""put_oi"": 41284}, ""2410"": {""call_vol"": 4449, ""put_vol"": 4231, ""call_oi"": 11365, ""put_oi"": 7067}, ""2411"": {""call_vol"": 182, ""put_vol"": 121, ""call_oi"": 1045, ""put_oi"": 700}, ""2412"": {""call_vol"": 1986, ""put_vol"": 659, ""call_oi"": 19707, ""put_oi"": 8151}, ""2503"": {""call_vol"": 460, ""put_vol"": 210, ""call_oi"": 6100, ""put_oi"": 4034}, ""2506"": {""call_vol"": 197, ""put_vol"": 95, ""call_oi"": 3285, ""put_oi"": 2415}}",0.8325148101254124,0.7002172679629246,541015.0,450403.0,743782.0,520809.0,0.9305117431450428,0.8198479998045014,78301.0,72860.0,122763.0,100647.0,667325.0,554042.0,0.830243134904282,985329.0,685107.0,0.6953078616380924,14.39828207,15.39552117,14.31457588,15.29911593,0.7,,0.1,,0.8,,0.7,,0.3,,0.3,,0.6,,0.5,,0.2,
